source_ID,source_text,target_ID,target_text,relation,source_type,target_type,file_name,type_pair
A20,"In fact, that paragraph forms part of the analysis of the plea relating to the limitation in time of the Commission’s power to recover unlawful aid.",A19,"It is also apparent from the structure of the judgment under appeal that paragraph 323 of that judgment, which refers to circumstances unrelated to the special tax regime, concerns only the annual aid granted to FT under the special tax regime.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A21,"The findings of the General Court in connection with that plea can relate only to aid actually received and, therefore, concern only the aid from which FT benefited under the special tax regime.",A19,"It is also apparent from the structure of the judgment under appeal that paragraph 323 of that judgment, which refers to circumstances unrelated to the special tax regime, concerns only the annual aid granted to FT under the special tax regime.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A13,"In those circumstances, the General Court was correct to hold, at paragraph 323 of the judgment under appeal, that the finding of the existence of aid depended on a number of ‘circumstances unrelated to’ the special tax regime, such as the fact that the business tax was charged annually and the level of the tax rates voted each year by the authorities in the territory in which FT had establishments.",A22,"It follows from those considerations that the General Court did not err in law in finding that the special tax regime conferred an advantage on FT for the purposes of Article 87(1) EC, even though the exact amount of aid granted under that regime had to be determined by reference to certain factors unrelated to the regime.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A14,"Contrary to the French Republic’s and FT’s claims, such circumstances do not in any way preclude the possibility that, even at the time of its adoption, the special tax regime could have been classified as State aid for the purposes of Article 87(1) EC.",A22,"It follows from those considerations that the General Court did not err in law in finding that the special tax regime conferred an advantage on FT for the purposes of Article 87(1) EC, even though the exact amount of aid granted under that regime had to be determined by reference to certain factors unrelated to the regime.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A15,"Indeed, it is necessary to make a distinction between, on the one hand, the adoption of an aid scheme, namely in the present case the special tax regime, and, on the other, the grant of annual aid to FT on the basis of that regime, the precise total amount of which depended on certain external factors.",A22,"It follows from those considerations that the General Court did not err in law in finding that the special tax regime conferred an advantage on FT for the purposes of Article 87(1) EC, even though the exact amount of aid granted under that regime had to be determined by reference to certain factors unrelated to the regime.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A16,"As the Advocate General stated at point 59 of his Opinion, the present case involves a dual categorisation, in which the existence of an advantage is attributable, first, to a fixed element forming part of the special tax regime applied to FT, as opposed to the general law regime, and, second, to a variable element, which depends on factual circumstances, namely the location of premises or land in the various local authorities and the tax rate applicable in those authorities.",A22,"It follows from those considerations that the General Court did not err in law in finding that the special tax regime conferred an advantage on FT for the purposes of Article 87(1) EC, even though the exact amount of aid granted under that regime had to be determined by reference to certain factors unrelated to the regime.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A18,"The fact that FT’s liability to professional tax was indeed lower as of 1994 is directly attributable to the specific features of the special tax regime applied to it, even though the exact amount of annual aid received by it under that regime depended on certain factors unrelated to the regime.",A22,"It follows from those considerations that the General Court did not err in law in finding that the special tax regime conferred an advantage on FT for the purposes of Article 87(1) EC, even though the exact amount of aid granted under that regime had to be determined by reference to certain factors unrelated to the regime.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A19,"It is also apparent from the structure of the judgment under appeal that paragraph 323 of that judgment, which refers to circumstances unrelated to the special tax regime, concerns only the annual aid granted to FT under the special tax regime.",A22,"It follows from those considerations that the General Court did not err in law in finding that the special tax regime conferred an advantage on FT for the purposes of Article 87(1) EC, even though the exact amount of aid granted under that regime had to be determined by reference to certain factors unrelated to the regime.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A22,"It follows from those considerations that the General Court did not err in law in finding that the special tax regime conferred an advantage on FT for the purposes of Article 87(1) EC, even though the exact amount of aid granted under that regime had to be determined by reference to certain factors unrelated to the regime.",A23,The first ground of appeal is therefore unfounded.,support,prem,conc,R2011_France Télécom SA v European Commission.xml,prem-conc
A4,"It should also be noted that the concept of advantage that is intrinsic to the classification of a measure as State aid is an objective one, irrespective of the motives of the persons responsible for the measure in question.",B7,"Consequently, the General Court’s interpretation to the effect that the aid at issue consisted in the tax differential deriving from the application of the provisions establishing a special regime is consistent with the enacting terms of the contested decision, which categorises the regime applicable to FT between the years 1994 and 2002 as aid which is incompatible with the common market.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A5,"Accordingly, the nature of the objectives pursued by State measures and their grounds of justification have no bearing whatsoever on whether such measures are to be classified as State aid.",B7,"Consequently, the General Court’s interpretation to the effect that the aid at issue consisted in the tax differential deriving from the application of the provisions establishing a special regime is consistent with the enacting terms of the contested decision, which categorises the regime applicable to FT between the years 1994 and 2002 as aid which is incompatible with the common market.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
A6,"It is established case-law that Article 87(1) EC does not distinguish between the causes or the objectives of State aid, but defines them in relation to their effects (see Case C‑409/00 Spain v Commission [2003] ECR I‑1487, paragraph 46 and the case-law cited).",B7,"Consequently, the General Court’s interpretation to the effect that the aid at issue consisted in the tax differential deriving from the application of the provisions establishing a special regime is consistent with the enacting terms of the contested decision, which categorises the regime applicable to FT between the years 1994 and 2002 as aid which is incompatible with the common market.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
B14bis,The two tax regimes were in fact based on different legal models and operating parameters.,B14,It should be noted that the levy applicable to FT between 1991 and 1993 was determined by different parameters from those applied with effect from 1994 under the special tax regime.,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
B15,"As is apparent from recital 17 of the contested decision and paragraph 209 of the judgment under appeal, under the tax scheme applicable to FT from 1991 to 1993, it did not have to pay any tax or levy other than the fixed levy.",B14,It should be noted that the levy applicable to FT between 1991 and 1993 was determined by different parameters from those applied with effect from 1994 under the special tax regime.,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
B16,The amount of the fixed levy was established not in accordance with the parameters used to determine the amount of business tax but by reference to the earnings paid to the State by the entity from 1989 to 1990.,B14,It should be noted that the levy applicable to FT between 1991 and 1993 was determined by different parameters from those applied with effect from 1994 under the special tax regime.,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
B17,The fixed levy was also temporary.,B14,It should be noted that the levy applicable to FT between 1991 and 1993 was determined by different parameters from those applied with effect from 1994 under the special tax regime.,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
B19,"However, the rules governing its liability to business tax derogated from the general law and constituted the special tax regime.",B14,It should be noted that the levy applicable to FT between 1991 and 1993 was determined by different parameters from those applied with effect from 1994 under the special tax regime.,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
B15,"As is apparent from recital 17 of the contested decision and paragraph 209 of the judgment under appeal, under the tax scheme applicable to FT from 1991 to 1993, it did not have to pay any tax or levy other than the fixed levy.",B20,"In those circumstances, the General Court was entitled to find, at paragraph 213 of the judgment under appeal, that the fixed levy must be regarded not as a charge connected with the introduction of the special tax regime, but rather as a special tax mechanism for FT established for the years prior to 1994.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
B16,The amount of the fixed levy was established not in accordance with the parameters used to determine the amount of business tax but by reference to the earnings paid to the State by the entity from 1989 to 1990.,B20,"In those circumstances, the General Court was entitled to find, at paragraph 213 of the judgment under appeal, that the fixed levy must be regarded not as a charge connected with the introduction of the special tax regime, but rather as a special tax mechanism for FT established for the years prior to 1994.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
B17,The fixed levy was also temporary.,B20,"In those circumstances, the General Court was entitled to find, at paragraph 213 of the judgment under appeal, that the fixed levy must be regarded not as a charge connected with the introduction of the special tax regime, but rather as a special tax mechanism for FT established for the years prior to 1994.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
B19,"However, the rules governing its liability to business tax derogated from the general law and constituted the special tax regime.",B20,"In those circumstances, the General Court was entitled to find, at paragraph 213 of the judgment under appeal, that the fixed levy must be regarded not as a charge connected with the introduction of the special tax regime, but rather as a special tax mechanism for FT established for the years prior to 1994.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
B15,"As is apparent from recital 17 of the contested decision and paragraph 209 of the judgment under appeal, under the tax scheme applicable to FT from 1991 to 1993, it did not have to pay any tax or levy other than the fixed levy.",B21,"In any event, as the General Court stated at paragraph 215 of the judgment under appeal, the mere fact that the fixed levy and the special tax regime were both introduced by Law No 90‑568 does not prove that FT’s liability to pay the fixed levy from 1991 to 1993 was connected with the creation of the special tax regime for the years after 1994.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
B16,The amount of the fixed levy was established not in accordance with the parameters used to determine the amount of business tax but by reference to the earnings paid to the State by the entity from 1989 to 1990.,B21,"In any event, as the General Court stated at paragraph 215 of the judgment under appeal, the mere fact that the fixed levy and the special tax regime were both introduced by Law No 90‑568 does not prove that FT’s liability to pay the fixed levy from 1991 to 1993 was connected with the creation of the special tax regime for the years after 1994.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
B17,The fixed levy was also temporary.,B21,"In any event, as the General Court stated at paragraph 215 of the judgment under appeal, the mere fact that the fixed levy and the special tax regime were both introduced by Law No 90‑568 does not prove that FT’s liability to pay the fixed levy from 1991 to 1993 was connected with the creation of the special tax regime for the years after 1994.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
B19,"However, the rules governing its liability to business tax derogated from the general law and constituted the special tax regime.",B21,"In any event, as the General Court stated at paragraph 215 of the judgment under appeal, the mere fact that the fixed levy and the special tax regime were both introduced by Law No 90‑568 does not prove that FT’s liability to pay the fixed levy from 1991 to 1993 was connected with the creation of the special tax regime for the years after 1994.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
B13,"The General Court therefore did not err in law in finding, at paragraph 208 of the judgment under appeal, that the validity of the French Republic’s and FT’s argument that the over-taxation of FT between 1991 and 1993, attributable to the fixed levy to which it was subject, offset the tax differential from which that company benefited from 1994 to 2002 depends on the analysis of the objective characteristics of the fixed levy applicable between 1991 and 1993 and on whether it may be regarded as a charge which is connected with the advantage enjoyed by FT as a result of its being taxed under the special regime as of 1994.",B22,"The General Court did not, therefore, err in law in concluding, at paragraph 218 of the judgment under appeal, that the Commission was entitled to refuse to apply a set-off between, on the one hand, the amounts paid by FT between 1991 and 1993 by way of fixed levy and, on the other, the tax differentials arising as a result of the special tax regime established for that company for the years 1994 to 2002.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
B14,It should be noted that the levy applicable to FT between 1991 and 1993 was determined by different parameters from those applied with effect from 1994 under the special tax regime.,B22,"The General Court did not, therefore, err in law in concluding, at paragraph 218 of the judgment under appeal, that the Commission was entitled to refuse to apply a set-off between, on the one hand, the amounts paid by FT between 1991 and 1993 by way of fixed levy and, on the other, the tax differentials arising as a result of the special tax regime established for that company for the years 1994 to 2002.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
B20,"In those circumstances, the General Court was entitled to find, at paragraph 213 of the judgment under appeal, that the fixed levy must be regarded not as a charge connected with the introduction of the special tax regime, but rather as a special tax mechanism for FT established for the years prior to 1994.",B22,"The General Court did not, therefore, err in law in concluding, at paragraph 218 of the judgment under appeal, that the Commission was entitled to refuse to apply a set-off between, on the one hand, the amounts paid by FT between 1991 and 1993 by way of fixed levy and, on the other, the tax differentials arising as a result of the special tax regime established for that company for the years 1994 to 2002.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
B21,"In any event, as the General Court stated at paragraph 215 of the judgment under appeal, the mere fact that the fixed levy and the special tax regime were both introduced by Law No 90‑568 does not prove that FT’s liability to pay the fixed levy from 1991 to 1993 was connected with the creation of the special tax regime for the years after 1994.",B22,"The General Court did not, therefore, err in law in concluding, at paragraph 218 of the judgment under appeal, that the Commission was entitled to refuse to apply a set-off between, on the one hand, the amounts paid by FT between 1991 and 1993 by way of fixed levy and, on the other, the tax differentials arising as a result of the special tax regime established for that company for the years 1994 to 2002.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
B23,"Lastly, even if it were the case that the tax regime applicable to FT consisted of two inextricably linked periods, the first entailing over-taxation and the second under-taxation, it is accepted that Law No 90-568 introduced with effect from 1994 a special tax regime intended to be of indefinite duration.",B25,It therefore provided no mechanism for determining the point at which over-taxation under the first regime should have been offset under the second regime.,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
B24,That law did not contain any mechanism for offsetting amounts due by way of fixed levy for the period from 1991 to 1993 against amounts due as of 1994 under the special tax regime.,B25,It therefore provided no mechanism for determining the point at which over-taxation under the first regime should have been offset under the second regime.,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
B26,"As the Advocate General observed at point 100 of his Opinion, that over-taxation should have exhausted its effects at a given time, which necessarily entailed the conferring of an advantage on FT under the special tax regime.",B25,It therefore provided no mechanism for determining the point at which over-taxation under the first regime should have been offset under the second regime.,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
B26,"As the Advocate General observed at point 100 of his Opinion, that over-taxation should have exhausted its effects at a given time, which necessarily entailed the conferring of an advantage on FT under the special tax regime.",B27,The first and third parts of the second ground of appeal cannot therefore be upheld.,support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
B9,The second part of the second ground of appeal must therefore be rejected.,B28,"Accordingly, the second ground must be rejected in its entirety.",support,prem,conc,R2011_France Télécom SA v European Commission.xml,prem-conc
B26,"As the Advocate General observed at point 100 of his Opinion, that over-taxation should have exhausted its effects at a given time, which necessarily entailed the conferring of an advantage on FT under the special tax regime.",B28,"Accordingly, the second ground must be rejected in its entirety.",support,prem,conc,R2011_France Télécom SA v European Commission.xml,prem-conc
C1,"It should be recalled, first, that the obligation to notify is one of the fundamental features of the system of control put in place by the Treaty in the field of State aid.",C3,"Consequently, in view of the mandatory nature of the review of State aid by the Commission, undertakings to which aid has been granted may not, in principle, entertain a legitimate expectation that the aid is lawful unless it has been granted in compliance with the procedure laid down in Article 88 EC and a diligent business operator should normally be able to determine whether that procedure has been followed.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
C2,"Under that system, Member States are under an obligation, first, to notify to the Commission each measure intended to grant new aid or alter aid for the purposes of Article 87(1) EC and, second, not to implement such a measure, in accordance with Article 88(3) EC, until that institution has taken a final decision on the measure.",C3,"Consequently, in view of the mandatory nature of the review of State aid by the Commission, undertakings to which aid has been granted may not, in principle, entertain a legitimate expectation that the aid is lawful unless it has been granted in compliance with the procedure laid down in Article 88 EC and a diligent business operator should normally be able to determine whether that procedure has been followed.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
C2,"Under that system, Member States are under an obligation, first, to notify to the Commission each measure intended to grant new aid or alter aid for the purposes of Article 87(1) EC and, second, not to implement such a measure, in accordance with Article 88(3) EC, until that institution has taken a final decision on the measure.",C4,"In particular, where aid is implemented without prior notification to the Commission, with the result that it is unlawful under Article 88(3) EC, the recipient of the aid cannot have at that time a legitimate expectation that its grant is lawful (see Joined Cases C‑183/02 P and C‑187/02 P Demesa and Territorio Histórico de Álava v Commission [2004] ECR I‑10609, paragraphs 44 and 45 and case-law cited).",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
C3,"Consequently, in view of the mandatory nature of the review of State aid by the Commission, undertakings to which aid has been granted may not, in principle, entertain a legitimate expectation that the aid is lawful unless it has been granted in compliance with the procedure laid down in Article 88 EC and a diligent business operator should normally be able to determine whether that procedure has been followed.",C4,"In particular, where aid is implemented without prior notification to the Commission, with the result that it is unlawful under Article 88(3) EC, the recipient of the aid cannot have at that time a legitimate expectation that its grant is lawful (see Joined Cases C‑183/02 P and C‑187/02 P Demesa and Territorio Histórico de Álava v Commission [2004] ECR I‑10609, paragraphs 44 and 45 and case-law cited).",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
C9,"Consequently, the General Court concluded correctly, at paragraph 270 of the judgment under appeal, that the French Republic and FT had failed to prove the existence of exceptional circumstances enabling them to rely on the principle of the protection of legitimate expectations.",C10,It must therefore be concluded that the first part of the third ground of appeal is unfounded.,support,prem,conc,R2011_France Télécom SA v European Commission.xml,prem-conc
D5,"Consequently, the General Court was entitled to find that there was nothing of relevance in the La Poste decision that could have given rise to any legitimate expectation on the part of FT that the tax regime at issue was lawful in the light of the rules on State aid.",D6,"The second part of the third ground of appeal is, therefore, unfounded.",support,prem,conc,R2011_France Télécom SA v European Commission.xml,prem-conc
E1,"As regards the principle of limitation, Article 15(1) of Regulation No 659/1999 provides that the powers of the Commission to recover aid are to be subject to a limitation period of 10 years.",E3,"Consequently, the decisive factor in determining the starting point of the limitation period referred to in Article 15 is when the aid was in fact granted.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
E2,It is apparent from Article 15(2) of the regulation that the limitation period does not begin to run until on the day on which the unlawful aid is awarded to the beneficiary.,E3,"Consequently, the decisive factor in determining the starting point of the limitation period referred to in Article 15 is when the aid was in fact granted.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
E3,"Consequently, the decisive factor in determining the starting point of the limitation period referred to in Article 15 is when the aid was in fact granted.",E11,"The General Court was therefore correct in finding, at paragraph 324 of the judgment under appeal, that, in view of the annual nature of business tax, the aid at issue could not be regarded as having been awarded before the year 1994, because that was the year in which the binding legal acts were adopted which made it possible, for the first time, to establish the existence of a tax differential.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
E4,"It is apparent from Article 15(2) of Regulation No 659/1999 that, for the purpose of determining the date on which the limitation period starts to run, that provision refers to the grant of aid to a beneficiary, not the date on which an aid scheme was adopted.",E11,"The General Court was therefore correct in finding, at paragraph 324 of the judgment under appeal, that, in view of the annual nature of business tax, the aid at issue could not be regarded as having been awarded before the year 1994, because that was the year in which the binding legal acts were adopted which made it possible, for the first time, to establish the existence of a tax differential.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
E7,"In such a case, for the purpose of calculating the limitation period, the aid must be regarded as not having been awarded to the beneficiary until the date on which it was in fact received by the beneficiary.",E11,"The General Court was therefore correct in finding, at paragraph 324 of the judgment under appeal, that, in view of the annual nature of business tax, the aid at issue could not be regarded as having been awarded before the year 1994, because that was the year in which the binding legal acts were adopted which made it possible, for the first time, to establish the existence of a tax differential.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
E8,"It should be noted that, at recital 49 of the contested decision, the Commission stated that the limitation period started to run each year on the date on which the business tax was due from FT.",E11,"The General Court was therefore correct in finding, at paragraph 324 of the judgment under appeal, that, in view of the annual nature of business tax, the aid at issue could not be regarded as having been awarded before the year 1994, because that was the year in which the binding legal acts were adopted which made it possible, for the first time, to establish the existence of a tax differential.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
E9,"As is apparent from paragraph 320 of the judgment under appeal, the limitation period starts to run afresh each time an advantage is actually granted, which may be on an annual basis, so that the calculation of the limitation period may depend on how the advantage is identified.",E11,"The General Court was therefore correct in finding, at paragraph 324 of the judgment under appeal, that, in view of the annual nature of business tax, the aid at issue could not be regarded as having been awarded before the year 1994, because that was the year in which the binding legal acts were adopted which made it possible, for the first time, to establish the existence of a tax differential.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
E10,"In the present case, since the finding as to whether aid existed depended on the different rates applicable in each municipality within whose territory FT’s establishments were situated, the General Court carried out an analysis, at paragraph 323 of the judgment under appeal, of the fact that business tax is charged annually and the consequences flowing from this.",E11,"The General Court was therefore correct in finding, at paragraph 324 of the judgment under appeal, that, in view of the annual nature of business tax, the aid at issue could not be regarded as having been awarded before the year 1994, because that was the year in which the binding legal acts were adopted which made it possible, for the first time, to establish the existence of a tax differential.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
E13,"Lastly, as regards the argument that the General Court failed to have regard to the obligation to state reasons in relation to the principle of limitation, it is settled case-law that that court is not thereby required to provide an account that follows exhaustively and point by point all the reasoning articulated by the parties to the case.",E14,"The reasoning may therefore be implicit on condition that it enables the persons concerned to know why the measures in question were taken and provides the competent court with sufficient material for it to exercise its power of review (see Case C‑105/04 P Nederlandse Federatieve Vereniging voor de Groothandel op Electrotechnisch Gebied v Commission [2006] ECR I‑8725, paragraph 72; and Case C‑3/06 P Groupe Danone v Commission [2007] ECR I‑1331, paragraph 46).",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
E11,"The General Court was therefore correct in finding, at paragraph 324 of the judgment under appeal, that, in view of the annual nature of business tax, the aid at issue could not be regarded as having been awarded before the year 1994, because that was the year in which the binding legal acts were adopted which made it possible, for the first time, to establish the existence of a tax differential.",E17,"In the light of all the foregoing considerations, the fourth ground of appeal cannot be accepted.",support,prem,conc,R2011_France Télécom SA v European Commission.xml,prem-conc
E12,"Moreover, the approach adopted by the General Court is confirmed by the wording of Article 15(1) of Regulation No 659/1999, from which it is apparent that it is the Commission’s powers to recover aid which are subject to a limitation period.",E17,"In the light of all the foregoing considerations, the fourth ground of appeal cannot be accepted.",support,prem,conc,R2011_France Télécom SA v European Commission.xml,prem-conc
E16,"In those circumstances, the Court finds that the General Court responded to the requisite legal standard to the arguments relating to the principle of limitation relied on by FT and did not disregard the requirement to state reasons established in the case-law cited at paragraph 88 above.",E17,"In the light of all the foregoing considerations, the fourth ground of appeal cannot be accepted.",support,prem,conc,R2011_France Télécom SA v European Commission.xml,prem-conc
F2,"As regards the argument relied on in support of the fifth ground of appeal, it should be observed that the General Court pointed out, at paragraph 301 of the judgment under appeal, that, on the basis of the Commission’s estimates, the aid at issue amounted to between EUR 798 million and EUR 1 140 million.",F3,"Since those figures delimit the range within which the final amount was to be established, the General Court found, referring in particular to paragraphs 31 to 40 of Commission v France, that the contested decision contained the appropriate information to enable that amount to be determined without too much difficulty.",support,prem,prem,R2011_France Télécom SA v European Commission.xml,prem-prem
