source_text,target_text,relation,source_type,target_type,file_name
"taking the view, at paragraph 130 of the judgment under appeal, that the Commission has established in the present case that the restructuring carried out by ACEA together with Electrabel could have given rise to the risk of circumvention of the recovery order in the earlier decision.","appeal, first, that the agreement allocating the branch of the undertaking transferred from ACEA to AEP contained a clause precluding any possible dispute concerning that branch and, second, that ACEA had already, at that point, contested the earlier decision.",support,premise,premise,R2010_AceaElectrabel Produzione SpA v European Commission
purpose for which the expert report was drawn up.,to the effective resumption of the activities of the Stratoni and Olympiada mines.,no-relation,non-argumentative,non-argumentative,A2017_Ellinikos Chrysos AE Metalleion kai Viomichanias Chrysou v European Commission
on whether certain statutory conditions were met (paragraphs 105 to 108).,public levies on a permanent basis.,no-relation,non-argumentative,non-argumentative,R2000_French Republic v Ladbroke Racing Ltd and Commission of the European Communitie
dismissed by the judgment under appeal.,the aspect of co-financing of the project under that regulation.,no-relation,non-argumentative,premise,R2002_associacao dos refinadores de acucar portugueses
share of the levy on higher tranches of turnover (paragraph 17 of the contested judgment).,"contained, successively, in paragraphs 58, 59, 60 and 62 of the contested judgment.",no-relation,non-argumentative,non-argumentative,R1997_Tiercé Ladbroke SA v Commission of the European Communities
"In the light of the foregoing, the appeal must be dismissed.",horse-races organized in Belgium.,support,conclusion,premise,R1997_Tiercé Ladbroke SA v Commission of the European Communities
"It was the EIGs which, first, applied to the tax authority, under Article 115(1) TRLIS, for the benefit of early depreciation of leased assets, which they were granted, and, secondly, left the normal corporate taxation system and opted for the tonnage tax system, as applied under Article 50(3) RIS.","As regards the EIGs, given that they were only financial instruments derived from the mere implementation of contractual clauses, they did not participate in any market, and so a distortion of the market could not be established at that level either.",no-relation,premise,non-argumentative,A2018_Commission v Spain
"In Joined Cases C-164/15 P and C-165/15 P,","It is common ground that, when the Commission carried out its assessment and adopted the decision at issue, the tax measure in question was producing its effects, in the sense that certain airlines were paying ATT at the reduced rate, whereas others - which, according to the Commission's assessment that went unchallenged by Aer Lingus and Ryanair, were in a comparable legal and factual situation in the light of the objectives of the tax measure at issue - were paying the same tax at the higher rate.",no-relation,non-argumentative,premise,A2016_European Commission v Aer Lingus Ltd and Ryanair Designated Activity Company
for the purposes of applying Article 87(1) EC’.,state of the proceedings so permits.,no-relation,non-argumentative,non-argumentative,A2011_European Commission (C-106_09 P) and Kingdom of Spain (C-107_09 P) v Government of Gibraltar and United Kingdom of Great Britain and Northern Ireland
"Italy v Commission [1999] ECR I-2981, paragraph 21).",States in accordance with a specific formula.,no-relation,premise,non-argumentative,R2004_Italian Republic v Commission of the European Communities
from a list drawn up by a group set up within the Council.,"of the EC Treaty (now, after amendment, Article 87 EC).",support,premise,premise,R2004_Ramondín SA and Ramondín Cápsulas SA (C-186_02 P) and Territorio Histórico de Álava - Diputación Foral de Álava (C-188_02 P) v Commission of the European Communities
state of the proceedings so permits.,regard to those of the Government of Gibraltar.,no-relation,non-argumentative,non-argumentative,A2011_European Commission (C-106_09 P) and Kingdom of Spain (C-107_09 P) v Government of Gibraltar and United Kingdom of Great Britain and Northern Ireland
the amount payable on the basis of the increased mining fee.,costs of these proceedings.,no-relation,non-argumentative,non-argumentative,R2015_European Commission v MOL Magyar Olaj- és Gázipari Nyrt
"facts by the General Court, the first part of the second ground of appeal is admissible.","to C-69/16 P, EU:C:2017:999, paragraph 98).",support,premise,premise,A2018_Dirk Andres v European Commission
"However, the social policy objectives pursued by such agreements would be seriously undermined if management and labour were subject to Article 85(1) of the Treaty when seeking jointly to adopt measures to improve conditions of work and employment.","Before concluding that Article 85(1) of the Treaty did not apply in those circumstances, the Court pointed out, in paragraph 54 of Albany, that, under Article 3(g) and (i) of the EC Treaty (now, after amendment, Article 3(1)(g) and (j) EC), the activities of the Community are to include not only a ‘system ensuring that competition in the internal market is not distorted’ but also ‘a policy in the social sphere’.",support,premise,premise,A2009_3F v Commission of the European Communities
as an illegal restriction of the scope of Article 93(2) and (3) of the Treaty.,in the event of any complaints which the Commission may receive.,support,premise,premise,R2002_associacao dos refinadores de acucar portugueses
that approach was not called into question by Ellinikos Chrysos.,would have been less than that which results from the judgment under appeal.,no-relation,non-argumentative,non-argumentative,A2017_Ellinikos Chrysos AE Metalleion kai Viomichanias Chrysou v European Commission
"That fact however had to be taken into consideration in relation to the obligation to recover the incompatible aid, in the light of the principles of protection of legitimate expectations and legal certainty, as was done by the Commission in the contested decision when it declined to order the recovery of aid granted before the date of publication in the Official Journal of the European Communities of the decisions to initiate the procedure laid down in Article 88(2) EC.","The power conferred upon the Council in the area of State aid by the third subparagraph of Article 88(2) EC is exceptional in character, which means that it must necessarily be interpreted strictly (see also, to that effect, the judgment of 4 December 2013 in Case C‑111/10 Commission v Council [2013] ECR, paragraph 39).",no-relation,premise,premise,A2013_European Commission v Ireland and Others
framework governing the conclusion of the 2005 agreement.,in a more favourable situation than that of others.,support,premise,premise,R2015_European Commission v MOL Magyar Olaj- és Gázipari Nyrt
to the right to challenge such acts or decisions by way of an action for annulment.,the rights of interested parties.,no-relation,premise,premise,A2010_NDSHT Nya Destination Stockholm Hotell & Teaterpaket AB v European Commission
Refers the case back to the General Court of the European Union for it to give judgment on the pleas raised before it on which it did not rule;,"It is therefore for the Commission to carry out an overall assessment, taking into account all relevant evidence in the case enabling it to determine whether the recipient company would manifestly not have obtained comparable facilities from such a private creditor (see, to that effect, Commission v EDF, paragraph 86).",no-relation,non-argumentative,premise,A2013_Frucona Košice a.s. v European Commission
admit of such a hypothesis.,the aims pursued were other than those stated.,no-relation,premise,non-argumentative,R2004_Ramondín SA and Ramondín Cápsulas SA (C-186_02 P) and Territorio Histórico de Álava - Diputación Foral de Álava (C-188_02 P) v Commission of the European Communities
"Consequently, given that Article 1 of the Third Steel Aid Code prohibited both aid that was and aid that was not specific to the steel sector, the Commission could not implicitly withdraw the 1971 Decision.","The provisions of the EC Treaty only apply in the alternative, in situations in which there is no specific rule under the ECSC Treaty (see, in particular, Case 328/85 Deutsche Babcock [1987] ECR 5119, paragraphs 6 to 14).",support,premise,premise,A2008_Commission of the European Communities v Salzgitter AG
"Ireland, the Italian Republic and the French Republic have exempted from excise duty mineral oils used for the production of alumina, respectively in the Shannon region since 1983, in Sardinia since 1993 and in the Gardanne region since 1997.","It is clear from the General Court’s file that the question of attributability of the exemptions at issue, merely alluded to by the Commission in its defence in Case T‑56/06, and by Eurallumina in its reply in Case T‑62/06, where however it stated that ‘[h]owever … it is not necessary to address this issue’, was introduced into the debate by the General Court by sending a written question to the parties, and, it may be added, it is also clear from paragraph 98 of the judgment under appeal.",no-relation,non-argumentative,premise,A2013_European Commission v Ireland and Others
evidence of the existence of serious difficulties.,General Court did not disregard its case-law in the slightest.,no-relation,non-argumentative,non-argumentative,"R2013_3F, formerly Specialarbejderforbundet i Danmark (SID) v European Commission"
ary 2006 no longer included in the Stockholm Card.,to the definition of that term in Article 1(h) of Regulation No 659/1999.,no-relation,non-argumentative,premise,A2010_NDSHT Nya Destination Stockholm Hotell & Teaterpaket AB v European Commission
"By three decisions of 30 October 2001, the Commission initiated the procedure provided for in Article 88(2) EC with regard to each of the exemptions at issue.","The first ground of appeal is based on the claim that the General Court lacked jurisdiction, that there were procedural irregularities and that there were infringements of the principle that the subject-matter of an action is defined by the parties, of Article 21 of the Statute of the Court of Justice of the European Union and of Articles 44(1) and 48(2) of the Rules of Procedure of the General Court, and, in the alternative, that there was a failure to state reasons.",no-relation,non-argumentative,non-argumentative,A2013_European Commission v Ireland and Others
an over-taxation of almost 198 million euros for the company”.,"Italiano [2005] ECR I-11137, paragraph 104).",no-relation,non-argumentative,premise,R2011_France Télécom SA v European Commission
and to assess the evidence.,would have been less than that which results from the judgment under appeal.,no-relation,premise,non-argumentative,A2017_Ellinikos Chrysos AE Metalleion kai Viomichanias Chrysou v European Commission
It follows from all of the foregoing that the appeals must be dismissed.,to the present appeal.,support,premise,premise,R2004_Daewoo Electronics Manufacturing España SA and Territorio Histórico de Álava - Diputación Foral de Álava v Commission of the European Communities
treatment in relation to any other undertaking that was potentially in a comparable situation.,undertakings themselves not to apply for an extension of mining rights.,no-relation,non-argumentative,premise,R2015_European Commission v MOL Magyar Olaj- és Gázipari Nyrt
France on French races.,"that the way in which stakes on Belgian races were treated, which allegedly produced the advantage to the Belgian P M U complained of, should be the same as the way in which the levy accruing to the P M U was treated.",attack,premise,premise,R1997_Tiercé Ladbroke SA v Commission of the European Communities
mission case-law was irrelevant.,"Moreover, in so far as AEP presented that argument for the first time at the stage of the written procedure before the Court of Justice, it follows from settled case-law that to allow a party to put forward for the first time before the Court of Justice a plea in law which it has not raised before the General Court would in effect allow that party to bring before the Court a wider case than that heard by the General Court.",no-relation,non-argumentative,premise,R2010_AceaElectrabel Produzione SpA v European Commission
MOL Magyar Olaj- és Gázipari Nyrt.,that measure constitutes State aid.,no-relation,non-argumentative,non-argumentative,R2015_European Commission v MOL Magyar Olaj- és Gázipari Nyrt
"Accordingly, the Court of First Instance, without considering the other pleas put forward by the Italian Republic and by Wam, annulled the contested decision for the inadequacy of the statement of reasons on which it is based, inasmuch as the reasons given were not adequate to justify the conclusion that the aid granted met all the conditions of Article 87(1) EC.",* Language of the case: Italian.,no-relation,non-argumentative,non-argumentative,R2006_European Commission v Italian Republic
The second part of the first ground of appeal must therefore be upheld.,"Therefore, in failing to examine whether the system for authorising early depreciation, as provided for in Article 48(4) and in Article 115(11) TRLIS, and Article 49 RIS, conferred on the tax authority a discretionary power such as to favour the activities carried on by the EIGs involved in the STL system or having the effect of favouring such activities, the General Court erred in law.",support,conclusion,premise,A2018_Commission v Spain
"As regards the shipping companies and the shipyards, the Commission set out, inter alia, in recitals 162 and 167 to 170 of the decision at issue that, in economic terms, a substantial part of the tax advantages collected by the EIGs was transferred to the shipping companies through a price rebate, but that the advantages obtained by those companies and indirectly by the shipyards were not imputable to the State, resulting from a combination of legal transactions between private entities.","It is on the basis of that flawed premiss, which denies the existence of the EIGs, their capacity to benefit from any tax aid and the fact that they carried on an economic activity in a specific sector, that the General Court then based the entire judgment under appeal and stated that the tax measures at issue were general in nature and not selective, because the members of the EIGs could belong to any sector of the economy.",no-relation,premise,non-argumentative,A2018_Commission v Spain
alleging disregard for procedural guarantees.,applicant has not expressly raised a plea to that effect.,support,premise,premise,R2011_European Commission v Kronoply GmbH & Co
compatibility of the GFA scheme with the common market.,situations which are governed solely by national law.,no-relation,non-argumentative,non-argumentative,A2009_Commission of the European Communities v Koninklijke FrieslandCampina NV_M
"In annulling the part of the contested decision relating to the Federal Republic of Germany’s obligation to recover the aid received by Salzgitter, the Court of First Instance again held that the Commission had known of that aid since the end of 1988 and that, given that it did not react until 1998, it had, in taking that decision, breached the principle of legal certainty.","It must be held that the reasoning followed by the judgment under appeal as regards breaching the principle of legal certainty is incorrect, and there is no need to rule on whether the Court of First Instance was entitled to hold that the Commission had knowledge of the aid in issue since the end of 1988, which the latter disputes.",attack,premise,premise,A2008_Commission of the European Communities v Salzgitter AG
"It follows that, since the resources of public undertakings are subject to the control of the State and are therefore at its disposal, those resources fall within the scope of the concept of 'State resources', within the meaning of Article 107(1) TFEU.","The fact that the resources concerned may be administered by entities that are distinct from the public authorities or that the source of those resources may be private is of no significance in that regard (see, to that effect, judgments of 2 July 1974, Italy v Commission, 173/73, EU:C:1974:71, paragraph 35, and of 8 May 2003, Italy and SIM 2 Multimedia v Commission, C-328/99 and C-399/00, EU:C:2003:252, paragraph 33).",support,premise,premise,A2017_European Commission v TV2_Danmark A_S
to implement tax harmonisation.,T-103/00) brought actions against the Commission.,no-relation,non-argumentative,non-argumentative,R2004_Ramondín SA and Ramondín Cápsulas SA (C-186_02 P) and Territorio Histórico de Álava - Diputación Foral de Álava (C-188_02 P) v Commission of the European Communities
"Accordingly, the Court rejects as inadmissible the pleas submitted by the Telefónica companies alleging the infringement of Article 40 of the Statute of the Court of Justice of the European Union and Article 106(2) TFEU.","It is apparent from those provisions, read together, that the reply may not seek the annulment of the judgment under appeal on the basis of distinct and independent grounds from those raised in the appeal, since such grounds may only be raised as part of a cross-appeal.",support,conclusion,premise,R2016_DTS Distribuidora de Televisión Digital
"million (EUR 6.7 million), and 155 applications had been [accepted].",Treaty for a large proportion of that period.,no-relation,non-argumentative,non-argumentative,R2004_Italian Republic v Commission of the European Communities
"However, the social policy objectives pursued by such agreements would be seriously undermined if management and labour were subject to Article 85(1) of the Treaty when seeking jointly to adopt measures to improve conditions of work and employment.","Albany International BV, an undertaking in the textile sector, had refused to pay the fund the contributions for a certain period, on the ground that compulsory affiliation to the fund, by virtue of which those contributions were claimed from it, was inter alia contrary to Article 85(1) of the Treaty.",support,premise,premise,A2009_3F v Commission of the European Communities
"However, the General Court considered that the measure at issue, on the grounds that it did not affect any particular category of undertakings or the production of any particular category of goods, that it was applicable regardless of the nature of an undertaking's activity and that it was accessible, a priori or potentially, to all undertakings that wanted to acquire shareholdings of at least 5% in foreign companies and that held those shareholdings without interruption for at least one year, had to be regarded not as a selective measure but as a general measure within the meaning of the case-law cited in paragraph 56 of this judgment.","In this case, the measure at issue confers a tax advantage that consists in a deduction from the taxable base for corporation tax in the form of an amortisation of the goodwill resulting from the acquisition by undertakings resident for tax purposes in Spain of at least 5% shareholdings in undertakings resident for tax purposes outside that Member State.",support,premise,premise,A2016_European_Commission_v_World_Duty_Free
"In paragraphs 67 to 76 and 126 to 133 of that decision, the Commission provides, inter alia, a detailed account of the specific rules laid down by the Steel Aid Codes in force since 1986.","The Commission states that there has been no revision of the ECSC Treaty, the wording of Article 4(c) CS having remained unchanged since 23 July 1952.",no-relation,premise,non-argumentative,A2008_Commission of the European Communities v Salzgitter AG
"Commission v Hansestadt Lübeck, C-524/14 P, EU:C:2016:971, paragraph 55).","C-20/15 P and C-21/15 P, EU:C:2016:981, paragraph 55 and the case-law cited).",support,premise,premise,A2018_Dirk Andres v European Commission
"In the light of those considerations, the General Court held, in paragraphs 54 and 55 of the judgment under appeal, that the mere fact that the 2006 schedule applied only to airlines using L�beck Airport was not relevant for the purpose of finding that that schedule was selective and that, since it was not disputed that all the airlines could benefit from the pricing provisions of that schedule, 'the Commission was wrong, in the light of the statement of reasons contained in the [decision at issue], to have found that the 2006 schedule was selective'.","Third, it must confer a selective advantage on the recipient.",support,premise,premise,R2016_European Commission v Hansestadt Lübeck
— order the Commission to pay the costs of the proceedings at first instance and,"0 It is clear, moreover, that Decision 93/337 could only be based on a prior finding that the measures in question were in the nature of State aid.",no-relation,non-argumentative,non-argumentative,R2004_Daewoo Electronics Manufacturing España SA and Territorio Histórico de Álava - Diputación Foral de Álava v Commission of the European Communities
"Regarding the reasons set out at recitals 76 and 78 to the contested decision, the Court of First Instance, without erring in law, held, in paragraphs 68 to 74 of the judgment under appeal, that those recitals, even when read in combination with the principles set out in recital 75 of the contested decision and with the finding that the financial situation of Wam has improved are not sufficient to permit an understanding of how the aid at issue is liable, in the present case, to affect trade between Member States and to distort or threaten to distort competition in that sector.","Contrary to the claim of the Commission in that respect, the mere fact that Wam took part in intra-Community trade by exporting an important part of its production within the EU cannot suffice, in the particular circumstances of the case recalled in paragraph 55 of this judgment, to demonstrate those effects.",support,premise,premise,R2006_European Commission v Italian Republic
in the context of transfers of assets in exchange for shares carried out between other companies.,Language of the case: Italian.,no-relation,non-argumentative,non-argumentative,A2012_BNP Paribas and Banca Nazionale del Lavoro SpA (BNL) v European Commission
in respect of the contested decision.,paragraph of Article 288 TFEU.,support,premise,premise,R2013_Telefónica SA v European Commission
"and V, point 2).",to be repaid from 11 January 1991.,no-relation,non-argumentative,non-argumentative,R2000_French Republic v Ladbroke Racing Ltd and Commission of the European Communitie
"According to the Commission, the undertakings affected by the measure at issue constitute a distinct category of undertakings, namely that of undertakings that export capital, since they share specific common characteristics linked to their activity of exporting capital.","That is not the case here, since the General Court upheld the two actions for annulment but did not examine three of the four pleas in law relied on in each of those actions, pleas which only partly overlap, and did not examine, within its examination of the first pleas in law in those actions, whether those undertakings that did not meet the conditions for obtaining the tax advantage conferred by the measure at issue were, in the light of the objective pursued by the tax system concerned, in a factual and legal situation comparable to that of the undertakings favoured by that measure. Further, examination of those pleas may involve assessment of matters of fact. The cases must therefore be referred back to the General Court.",no-relation,non-argumentative,non-argumentative,A2016_European_Commission_v_World_Duty_Free
"In those circumstances, in the light of the considerations set out in paragraphs 89 to 93 above, it must be concluded that restitution of the advantage procured by the aid measure, as identified by the decision at issue, required the Irish tax authorities to recover from the beneficiaries of the lower rate of ATT the difference between the amount of ATT which, in the absence of unlawful aid, should have been paid in respect of each of the flights in question, namely the amount of ATT at the higher rate, and the amount of ATT actually paid - in other words, the amount calculated on the basis of the lower rate of ATT.","With regard, in particular, to unlawful aid granted in the form of a tax advantage, it is also the Court's settled case-law that recovery of aid means that the transactions actually carried out by the recipients of the aid in question must be subject to the tax treatment which the recipients would have received in the absence of the unlawful aid (see, to that effect, judgment of 15 December 2005, Unicredito Italiano, C-148/04, EU:C:2005:774, paragraph 119).",support,premise,premise,A2016_European Commission v Aer Lingus Ltd and Ryanair Designated Activity Company
the purposes of determining the reference framework.,"C-106/09 P and C-107/09 P, EU:C:2011:732, paragraphs 87, 92 and 93 and the case-law cited).",support,premise,premise,A2018_Dirk Andres v European Commission
to the national authorities’ own acts or omissions.,limb of the fourth paragraph of Article 263 TFEU.,no-relation,premise,non-argumentative,A2018_Scuola Elementare Maria Montessori Srl v European Commission
"The City of L�beck, the Federal Republic of Germany and the Kingdom of Spain contend that this ground of appeal should be dismissed.","It stated that such a decision necessarily alters the legal scope of the measure under consideration and the legal position of the recipient undertakings, particularly as regards the continued application of the measure.",no-relation,non-argumentative,premise,R2016_European Commission v Hansestadt Lübeck
"Therefore, the General Court concluded in paragraphs 176 to 177 of the judgment under appeal that the mere finding in recital 157 of the decision at issue that the STL system favoured the activities carried on by the EIGs, could not establish the selectivity of the advantages received by the investors and that, if that decision were to be construed to the effect that investors exercised, through the EIGs created for the purposes of the STL system, the particular activities of those EIGs, that decision would be vitiated by a failure to state reasons, and indeed by contradictory reasoning, on that point.","It stated that, therefore, if the Commission had considered that the advantages obtained by the investors were selective because the latter carried on those activities, it was incumbent on it to make clear that the EIGs’ activities corresponded to those of their members or, at least, that they could be attributed to them.",support,premise,premise,A2018_Commission v Spain
at issue constituted State aid.,comply with the rules laid down in Article 93 of the Treaty.,no-relation,premise,premise,R2000_French Republic v Ladbroke Racing Ltd and Commission of the European Communitie
"It follows that the General Court, contrary to what the Commission argues, did not raise of its own motion a plea relating to the substantive legality of the decision at issue by ruling on the second plea in law of the application before it.","Therefore, contrary to what the Commission submits, the Italian Republic argued in its application at first instance that the Commission had infringed Article 1(c) of Regulation No 659/1999 by classifying, in the decision at issue, the staggering of payments as new and unlawful aid, and by wrongly requiring that Member State to recover that aid.",support,premise,premise,A2017_European Commission v Italian Republic_DT
"By separate document lodged at the Registry of the Court of First Instance on 17 March 2003, the Commission raised a plea of inadmissibility under Article 114 of the Rules of Procedure of the Court of First Instance, asking that Court to dismiss the application before it as manifestly inadmissible and to order the appellant to pay the costs.","As may be seen from Joined Cases C‑72/91 and C‑73/91 Sloman Neptun [1993] ECR I‑887, a system such as that established by the DIS register, which enables contracts of employment concluded with seafarers who are nationals of non-member countries and have no permanent abode or residence in the Member State concerned to be subjected to working conditions and rates of pay which are not covered by the law of that Member State and are considerably less favourable than those applicable to seafarers who are nationals of that Member State, does not constitute State aid within the meaning of Article 87(1) EC.",no-relation,non-argumentative,premise,A2009_3F v Commission of the European Communities
"The STL system therefore involved the use of public resources in the form of lost tax revenue and unpaid interest, as was found in paragraph 5.3.3. of that decision.",That argument runs counter to the very essence of an EIG which is merely an instrument that makes it possible to channel tax advantages.,no-relation,premise,non-argumentative,A2018_Commission v Spain
"in the future, from the advantage of GFA authorisation.",investments already made or to commitments already undertaken.,support,premise,premise,A2009_Commission of the European Communities v Koninklijke FrieslandCampina NV_M
"Consequently, a Council decision authorising a Member State, in accordance with Article 8(4) of Directive 92/81, to introduce an exemption of excise duties could not have the effect of preventing the Commission from exercising the powers conferred on it by the Treaty and, consequently, setting in motion the procedure laid down in Article 88 EC in order to review whether that exemption constituted State aid and on the conclusion of that procedure, if appropriate, to adopt a decision such as the contested decision.",Articles 87 EC and 88 EC thus reserve a central role for the Commission in determining whether aid is incompatible.,support,premise,premise,A2013_European Commission v Ireland and Others
That statement of compatibility was subject to two sets of conditions.,"Such a finding, in its opinion, would be ‘the clear result of a distortion of the concept of “alteration of existing aid”, relevant for the application of Article 1(c) of Regulation No 659/1999’, as is apparent from the first sentence of paragraph 58 of that application.",no-relation,non-argumentative,premise,A2017_European Commission v Italian Republic_DT
It therefore concluded that the appellant could not rely on those social aspects to establish that it was individually concerned.,"Since it cannot be ruled out that organisations representing the workers of the undertakings benefiting from aid may, as parties concerned within the meaning of that provision of the Treaty, submit observations to the Commission on considerations of a social nature which it can take into account if appropriate, the circumstance that the Court of First Instance did not in fact address the appellant’s argument relating to the social aspects of the fiscal measures at issue with regard to the Community guidelines means that the order under appeal must be set aside on this point.",attack,premise,conclusion,A2009_3F v Commission of the European Communities
which could be the subject of judicial review by the EU judicature or the national courts.,"v Commission, C-384/16 P, EU:C:2018:176, paragraph 35 and the case-law cited).",support,premise,premise,A2018_Scuola Elementare Maria Montessori Srl v European Commission
"The TV2 I decision was the subject of four actions for annulment brought, on the one hand, by TV2/Danmark (Case T-309/04) and the Kingdom of Denmark (Case T-317/04) and, on the other, by the competitors of TV2/Danmark, Viasat (Case T-329/04) and SBS (Case T-336/04).","As stated in paragraphs 49 to 52 of the present judgment, the existence of public control over the advertising revenue at issue was due to the fact that that revenue was administered by public undertakings owned by the Danish State.",no-relation,non-argumentative,premise,A2017_European Commission v TV2_Danmark A_S
at Heiligengrabe in the Land of Brandenburg (Germany).,"Kronotex, probably as a result of ZSG’s installation.",no-relation,non-argumentative,premise,R2011_European Commission v Kronoply GmbH & Co
It follows from all of the foregoing that the appeals must be dismissed.,first time in the appeal.,support,conclusion,premise,R2004_Ramondín SA and Ramondín Cápsulas SA (C-186_02 P) and Territorio Histórico de Álava - Diputación Foral de Álava (C-188_02 P) v Commission of the European Communities
in respect of the contested decision.,"TFEU, the illegality of the basic act at issue.",support,premise,premise,R2013_Telefónica SA v European Commission
information to the Commission.,"In support of its appeal, 3F puts forward three pleas in law.",no-relation,non-argumentative,non-argumentative,"R2013_3F, formerly Specialarbejderforbundet i Danmark (SID) v European Commission"
"circumstances’, both to constitute new reserves and use existing reserves.",It follows that the second limb of the fourth plea is well founded.,no-relation,non-argumentative,conclusion,A2009_Commission of the European Communities v Koninklijke FrieslandCampina NV_M
