source_text,target_text,relation,source_type,target_type,file_name
"However, the social policy objectives pursued by such agreements would be seriously undermined if management and labour were subject to Article 85(1) of the Treaty when seeking jointly to adopt measures to improve conditions of work and employment.","Albany International BV, an undertaking in the textile sector, had refused to pay the fund the contributions for a certain period, on the ground that compulsory affiliation to the fund, by virtue of which those contributions were claimed from it, was inter alia contrary to Article 85(1) of the Treaty.",support,premise,premise,A2009_3F v Commission of the European Communities
"However, the General Court considered that the measure at issue, on the grounds that it did not affect any particular category of undertakings or the production of any particular category of goods, that it was applicable regardless of the nature of an undertaking's activity and that it was accessible, a priori or potentially, to all undertakings that wanted to acquire shareholdings of at least 5% in foreign companies and that held those shareholdings without interruption for at least one year, had to be regarded not as a selective measure but as a general measure within the meaning of the case-law cited in paragraph 56 of this judgment.","In this case, the measure at issue confers a tax advantage that consists in a deduction from the taxable base for corporation tax in the form of an amortisation of the goodwill resulting from the acquisition by undertakings resident for tax purposes in Spain of at least 5% shareholdings in undertakings resident for tax purposes outside that Member State.",support,premise,premise,A2016_European_Commission_v_World_Duty_Free
"Commission v Hansestadt Lübeck, C-524/14 P, EU:C:2016:971, paragraph 55).","C-20/15 P and C-21/15 P, EU:C:2016:981, paragraph 55 and the case-law cited).",support,premise,premise,A2018_Dirk Andres v European Commission
"In the light of those considerations, the General Court held, in paragraphs 54 and 55 of the judgment under appeal, that the mere fact that the 2006 schedule applied only to airlines using L�beck Airport was not relevant for the purpose of finding that that schedule was selective and that, since it was not disputed that all the airlines could benefit from the pricing provisions of that schedule, 'the Commission was wrong, in the light of the statement of reasons contained in the [decision at issue], to have found that the 2006 schedule was selective'.","Third, it must confer a selective advantage on the recipient.",support,premise,premise,R2016_European Commission v Hansestadt Lübeck
"Regarding the reasons set out at recitals 76 and 78 to the contested decision, the Court of First Instance, without erring in law, held, in paragraphs 68 to 74 of the judgment under appeal, that those recitals, even when read in combination with the principles set out in recital 75 of the contested decision and with the finding that the financial situation of Wam has improved are not sufficient to permit an understanding of how the aid at issue is liable, in the present case, to affect trade between Member States and to distort or threaten to distort competition in that sector.","Contrary to the claim of the Commission in that respect, the mere fact that Wam took part in intra-Community trade by exporting an important part of its production within the EU cannot suffice, in the particular circumstances of the case recalled in paragraph 55 of this judgment, to demonstrate those effects.",support,premise,premise,R2006_European Commission v Italian Republic
in respect of the contested decision.,paragraph of Article 288 TFEU.,support,premise,premise,R2013_Telefónica SA v European Commission
"In those circumstances, in the light of the considerations set out in paragraphs 89 to 93 above, it must be concluded that restitution of the advantage procured by the aid measure, as identified by the decision at issue, required the Irish tax authorities to recover from the beneficiaries of the lower rate of ATT the difference between the amount of ATT which, in the absence of unlawful aid, should have been paid in respect of each of the flights in question, namely the amount of ATT at the higher rate, and the amount of ATT actually paid - in other words, the amount calculated on the basis of the lower rate of ATT.","With regard, in particular, to unlawful aid granted in the form of a tax advantage, it is also the Court's settled case-law that recovery of aid means that the transactions actually carried out by the recipients of the aid in question must be subject to the tax treatment which the recipients would have received in the absence of the unlawful aid (see, to that effect, judgment of 15 December 2005, Unicredito Italiano, C-148/04, EU:C:2005:774, paragraph 119).",support,premise,premise,A2016_European Commission v Aer Lingus Ltd and Ryanair Designated Activity Company
the purposes of determining the reference framework.,"C-106/09 P and C-107/09 P, EU:C:2011:732, paragraphs 87, 92 and 93 and the case-law cited).",support,premise,premise,A2018_Dirk Andres v European Commission
"Therefore, the General Court concluded in paragraphs 176 to 177 of the judgment under appeal that the mere finding in recital 157 of the decision at issue that the STL system favoured the activities carried on by the EIGs, could not establish the selectivity of the advantages received by the investors and that, if that decision were to be construed to the effect that investors exercised, through the EIGs created for the purposes of the STL system, the particular activities of those EIGs, that decision would be vitiated by a failure to state reasons, and indeed by contradictory reasoning, on that point.","It stated that, therefore, if the Commission had considered that the advantages obtained by the investors were selective because the latter carried on those activities, it was incumbent on it to make clear that the EIGs’ activities corresponded to those of their members or, at least, that they could be attributed to them.",support,premise,premise,A2018_Commission v Spain
at issue constituted State aid.,comply with the rules laid down in Article 93 of the Treaty.,no-relation,premise,premise,R2000_French Republic v Ladbroke Racing Ltd and Commission of the European Communitie
"It follows that the General Court, contrary to what the Commission argues, did not raise of its own motion a plea relating to the substantive legality of the decision at issue by ruling on the second plea in law of the application before it.","Therefore, contrary to what the Commission submits, the Italian Republic argued in its application at first instance that the Commission had infringed Article 1(c) of Regulation No 659/1999 by classifying, in the decision at issue, the staggering of payments as new and unlawful aid, and by wrongly requiring that Member State to recover that aid.",support,premise,premise,A2017_European Commission v Italian Republic_DT
"in the future, from the advantage of GFA authorisation.",investments already made or to commitments already undertaken.,support,premise,premise,A2009_Commission of the European Communities v Koninklijke FrieslandCampina NV_M
"Consequently, a Council decision authorising a Member State, in accordance with Article 8(4) of Directive 92/81, to introduce an exemption of excise duties could not have the effect of preventing the Commission from exercising the powers conferred on it by the Treaty and, consequently, setting in motion the procedure laid down in Article 88 EC in order to review whether that exemption constituted State aid and on the conclusion of that procedure, if appropriate, to adopt a decision such as the contested decision.",Articles 87 EC and 88 EC thus reserve a central role for the Commission in determining whether aid is incompatible.,support,premise,premise,A2013_European Commission v Ireland and Others
It therefore concluded that the appellant could not rely on those social aspects to establish that it was individually concerned.,"Since it cannot be ruled out that organisations representing the workers of the undertakings benefiting from aid may, as parties concerned within the meaning of that provision of the Treaty, submit observations to the Commission on considerations of a social nature which it can take into account if appropriate, the circumstance that the Court of First Instance did not in fact address the appellant’s argument relating to the social aspects of the fiscal measures at issue with regard to the Community guidelines means that the order under appeal must be set aside on this point.",attack,premise,conclusion,A2009_3F v Commission of the European Communities
which could be the subject of judicial review by the EU judicature or the national courts.,"v Commission, C-384/16 P, EU:C:2018:176, paragraph 35 and the case-law cited).",support,premise,premise,A2018_Scuola Elementare Maria Montessori Srl v European Commission
in respect of the contested decision.,"TFEU, the illegality of the basic act at issue.",support,premise,premise,R2013_Telefónica SA v European Commission
thus expressing its wish to terminate its preliminary examination.,measures in question did not constitute unlawful aid.,support,premise,premise,A2010_NDSHT Nya Destination Stockholm Hotell & Teaterpaket AB v European Commission
to be determined by reference to certain factors unrelated to the regime.,the authorities in the territory in which FT had establishments.,support,premise,premise,R2011_France Télécom SA v European Commission
"In the light of those considerations, the General Court held, in paragraphs 54 and 55 of the judgment under appeal, that the mere fact that the 2006 schedule applied only to airlines using L�beck Airport was not relevant for the purpose of finding that that schedule was selective and that, since it was not disputed that all the airlines could benefit from the pricing provisions of that schedule, 'the Commission was wrong, in the light of the statement of reasons contained in the [decision at issue], to have found that the 2006 schedule was selective'.","Finally, in paragraph 53 of the judgment under appeal, the General Court stated, in essence, that the selectivity of a measure by which a public entity lays down a fee scale for the use of its goods or services is assessed by referring to all of the undertakings using or able to use those goods and services and by examining whether all or only some of them obtain or are able to obtain any possible advantage.",support,premise,premise,R2016_European Commission v Hansestadt Lübeck
constitute a decision pursuant to Article 4 of Regulation No 659/1999.,plication to initiate the formal investigation procedure under Article 88(2) EC.,support,premise,premise,A2010_NDSHT Nya Destination Stockholm Hotell & Teaterpaket AB v European Commission
effect was to define a situation falling under the general loss carry-forward rule.,the measure at issue was constituted by the rule governing the forfeiture of losses’.,support,premise,premise,A2018_Dirk Andres v European Commission
"Furthermore, that conclusion is not invalidated by the arguments advanced by the Commission with regard to the findings of the Court of First Instance in paragraph 74 of the judgment under appeal.","Those findings on the examination of the interdependence between EU and Far Eastern markets relate to the possibility of an indirect effect on trade and intra-Community competition, such as that referred to principally in the Tubemeuse judgement.",support,premise,premise,R2006_European Commission v Italian Republic
"It follows that, as the General Court held in paragraph 212 of the judgment under appeal, the pleas put forward by the Telefónica companies in its statement in intervention before the General Court were wholly unconnected with the subject matter of the dispute as it had been defined by DTS and altered the framework of the dispute to a degree which was contrary to Article 40 of the Statute of the Court of Justice of the European Union.","It follows that arguments submitted by an intervener are not admissible unless they fall within the framework provided by those forms of order and pleas in law (judgment of 7 October 2014, Germany v Council, C‑399/12, EU:C:2014:2258, paragraph 27).",support,premise,premise,R2016_DTS Distribuidora de Televisión Digital
"In those circumstances, the Commission’s claim that the Court of First Instance did not give it an opportunity to discuss this question must be dismissed.","In this context, the Commission also stated that Article 6 of the Third Steel Aid Code laid down an obligation to notify aid paid to Salzgitter under the ZRFG.",support,premise,premise,A2008_Commission of the European Communities v Salzgitter AG
alleging disregard for procedural guarantees.,means of a single decision.,support,premise,premise,R2011_European Commission v Kronoply GmbH & Co
The application of a tax exemption and its extent do not depend on the tax revenue.,The method by which aid is financed may render the entire aid scheme it is intended to fund incompatible with the internal market.,no-relation,premise,premise,R2016_DTS Distribuidora de Televisión Digital
measures in question did not constitute unlawful aid.,appellant alleging distortion of the contents of the contested letters.,no-relation,premise,premise,A2010_NDSHT Nya Destination Stockholm Hotell & Teaterpaket AB v European Commission
"Thus, it is clear from the case-law of the Court of Justice that, contrary to the Commission's submissions, the obligation to suspend the implementation of the measure in question is not the only legal effect of a decision to initiate the formal investigation procedure.","It may also decide to order interim measures in order to safeguard, first, the interests of the parties concerned and, secondly, the effectiveness of the Commission's decision to initiate the formal investigation procedure.",support,premise,premise,R2016_European Commission v Hansestadt Lübeck
"The General Court also erred in law in holding, in paragraphs 77 to 82 of the judgment under appeal Autogrill Espaa v Commission and in paragraphs 81 to 86 of the judgment under appeal Banco Santander and Santusa v Commission, that the case-law relating to aid for exports relied on in the contested decisions had to be understood as meaning that the category of recipient undertakings with respect to whom the selectivity of export aid schemes must be examined was that constituted by 'export undertakings', which had to be defined as a category, which, while admittedly extremely broad, is nevertheless defined, comprising undertakings that could be distinguished by reason of specific, shared characteristics linked to their exporting activity.","As observed, in essence, by the Advocate General in points 133 to 136 of his Opinion, that case-law cannot be understood as meaning that a national measure must necessarily be classified as selective where that measure benefits exclusively undertakings that export goods or services, even if, in fact, that may have been the case with respect to the particular tax measures at issue in the judgments concerned.",support,premise,premise,A2016_European_Commission_v_World_Duty_Free
arguments that it compared the tax scheme at issue and the general realignment scheme.,Article  2(25) of that law.,support,premise,premise,A2012_BNP Paribas and Banca Nazionale del Lavoro SpA (BNL) v European Commission
Commission described the provisions of the Italian legislation on tax databases.,and Scuola Elementare Maria Montessori.,no-relation,premise,premise,A2018_Scuola Elementare Maria Montessori Srl v European Commission
No 1785/81 in no way precludes that possibility.,"mainland, the benefit of a production quota of 60 000 tonnes for sugar.",support,premise,premise,R2002_associacao dos refinadores de acucar portugueses
"Article 263 TFEU, by Article 1(1) of the contested decision.",benefiting from the scheme at issue.,support,premise,premise,R2013_Telefónica SA v European Commission
That provision sets out four conditions.,"Contrary to what is stated by the General Court, there is no basis for such a consideration in the Court's case-law.",no-relation,premise,premise,A2017_European Commission v TV2_Danmark A_S
"the common market, that is to say from 1989.",The second ground of appeal must therefore be rejected.,attack,premise,conclusion,R2000_French Republic v Ladbroke Racing Ltd and Commission of the European Communitie
"That measure accordingly operated de facto discrimination against undertakings that were in a comparable situation in the light of the objective pursued by that regime, in that case the objective of putting in place generalised taxation of all resident companies.","The Court held that the nature of that scheme did not preclude a finding that the measure concerned was selective, contrary to the ruling of the General Court, since the condition relating to selectivity has a broader scope that extends to measures which, by their effects, favour certain undertakings, in that case 'offshore' companies, on account of the specific features characteristic of those undertakings.",support,premise,premise,A2016_European_Commission_v_World_Duty_Free
"The General Court held that, consequently, Ireland, the French Republic and the Italian Republic were entitled to rely on those decisions in order to continue to apply the exemptions at issue.","In paragraphs 63 to 72 of the judgment under appeal, the General Court held, first, that, in the light of the fact that the rules governing the harmonisation of national fiscal legislation and the rules on State aid have a shared objective, namely to promote the proper functioning of the internal market, by combating, inter alia, distortions of competition, the concept of distortion of competition had to be regarded as having the same scope and the same meaning in both those areas, in order to ensure the consistent implementation of those rules.",support,premise,premise,A2013_European Commission v Ireland and Others
"Thus, according to the case-law of the Court, a tax cannot be hypothecated to an exemption from payment of that same tax for a category of undertakings, and thus even where those undertakings operate in competition with undertakings liable to pay the tax in question.","On the one hand, as the Court has already held, the question whether a tax is an integral part of an aid financed by a tax depends not on the existence of a competitive relationship between the person liable to pay the tax and the beneficiary of the aid, but only on whether that tax is hypothecated to the aid in question under the relevant national legislation (see, to that effect, judgment of 22 December 2008, Régie Networks, C‑333/07, EU:C:2008:764, paragraphs 93 to 99).",support,premise,premise,R2016_DTS Distribuidora de Televisión Digital
"That measure must, since it is capable of conferring an advantage on all such undertakings which carry out such transactions, be regarded as capable of constituting an aid scheme.","In this case, the measure at issue confers a tax advantage that consists in a deduction from the taxable base for corporation tax in the form of an amortisation of the goodwill resulting from the acquisition by undertakings resident for tax purposes in Spain of at least 5% shareholdings in undertakings resident for tax purposes outside that Member State.",support,premise,premise,A2016_European_Commission_v_World_Duty_Free
"In the light of those considerations, the General Court held, in paragraphs 54 and 55 of the judgment under appeal, that the mere fact that the 2006 schedule applied only to airlines using L�beck Airport was not relevant for the purpose of finding that that schedule was selective and that, since it was not disputed that all the airlines could benefit from the pricing provisions of that schedule, 'the Commission was wrong, in the light of the statement of reasons contained in the [decision at issue], to have found that the 2006 schedule was selective'.","In upholding the plea put forward by the City of L�beck alleging infringement of Article 107(1) TFEU in that the Commission found in the decision at issue that the 2006 schedule was selective, the General Court stated, first of all, in paragraph 50 of the judgment under appeal, that that finding was based, in the decision at issue, exclusively on the ground that the advantages in question were granted only to airlines using L�beck Airport.",support,premise,premise,R2016_European Commission v Hansestadt Lübeck
nature and scheme of the system in question.,principle should have been paid over to the Treasury.,no-relation,premise,premise,R2000_French Republic v Ladbroke Racing Ltd and Commission of the European Communitie
"The fact nonetheless remains that those reasons are not such as to call into question the grounds of the General Court's rejection of Ryanair's argument, so that this part of Ryanair's single ground of appeal must also be discounted.","As is apparent from the Court's established case-law, Article 107(1) TFEU does not draw a distinction between measures of State intervention on the basis of the techniques used by the national authorities (see, to that effect, judgment of 15 November 2011, Commission and Spain v Government of Gibraltar and United Kingdom, C-106/09 P and C-107/09 P, EU:C:2011:732, paragraph 87 and the case-law cited).",support,premise,premise,A2016_European Commission v Aer Lingus Ltd and Ryanair Designated Activity Company
alleging disregard for procedural guarantees.,"Stadtwerke Schwäbisch Hall and Others v Commission, paragraph 25).",support,premise,premise,R2011_European Commission v Kronoply GmbH & Co
"Commission v Hansestadt Lübeck, C-524/14 P, EU:C:2016:971, paragraph 55).","First, there must be an intervention by the State or through State resources.",support,premise,premise,A2018_Dirk Andres v European Commission
attributable to the grant of the aid at issue’.,"Kronotex, probably as a result of ZSG’s installation.",support,premise,premise,R2011_European Commission v Kronoply GmbH & Co
"In the light of those considerations, the General Court held, in paragraphs 54 and 55 of the judgment under appeal, that the mere fact that the 2006 schedule applied only to airlines using L�beck Airport was not relevant for the purpose of finding that that schedule was selective and that, since it was not disputed that all the airlines could benefit from the pricing provisions of that schedule, 'the Commission was wrong, in the light of the statement of reasons contained in the [decision at issue], to have found that the 2006 schedule was selective'.","Second, the intervention must be liable to affect trade between Member States.",support,premise,premise,R2016_European Commission v Hansestadt Lübeck
"However, the social policy objectives pursued by such agreements would be seriously undermined if management and labour were subject to Article 85(1) of the Treaty when seeking jointly to adopt measures to improve conditions of work and employment.","The Commission also takes any relevant measure to facilitate their dialogue by ensuring balanced support for the parties (see, to that effect, Albany, paragraphs 55 to 58, with respect to the EEC Treaty and the Agreement on social policy concluded between the Member States of the European Community with the exception of the United Kingdom of Great Britain and Northern Ireland (OJ 1992 C 191, p. 91) before the entry into force of the Treaty of Amsterdam).",support,premise,premise,A2009_3F v Commission of the European Communities
"Accordingly, this plea is admissible.",the Court of Justice.,support,premise,premise,R2002_associacao dos refinadores de acucar portugueses
"It follows that, by raising of its own motion the plea that the exemptions at issue were attributable not to the Member States but to the European Union, and, for that reason, did not constitute State aid within the meaning of Article 87(1) EC, the General Court caused the judgment under appeal to be vitiated by an error in law.","In paragraph 104 of the judgment under appeal, the General Court concluded that the authorisation decisions precluded the Commission being able to attribute the exemptions at issue to the Member States concerned and, therefore, being able to classify them as State aid within the meaning of Article 87(1) EC and ordering their partial recovery to the extent that it regarded them as not compatible with the internal market, within the meaning of Article 87(3) EC.",no-relation,premise,premise,A2013_European Commission v Ireland and Others
the purposes of determining the reference framework.,State intervention prevails decisively over its effects.,support,premise,premise,A2018_Dirk Andres v European Commission
"It appears from those considerations that the Commission provided information in the decision at issue making it possible to understand the reasons why it considered that the advantages arising from the tax measures at issue were of a selective nature and were liable to affect trade between Member States and distort competition, and that, having regard to the particular circumstances of the case, it adequately explained the reasons for that decision, without contradiction in that respect, in keeping with the requirements of Article 296 TFEU, as defined by the case-law set out in paragraphs 82 to 86 above.","As is apparent from the examination of the first complaint in the first ground of appeal, that premiss is incorrect.",support,premise,premise,A2018_Commission v Spain
recipient of aid entertained a legitimate expectation as to its legality.,the Court of Justice may carry out.,no-relation,premise,premise,R2000_French Republic v Ladbroke Racing Ltd and Commission of the European Communitie
"In the present case, it is sufficient, first, to observe that the reasoning of the General Court is clear and intelligible and is such as to enable both AEP and Electrabel to know why the General Court rejected the plea in question and to provide the Court of Justice with sufficient material for it to exercise its powers of review.","In particular, the General Court explained, at paragraph 180 of the judgment under appeal, why, in its opinion, the Commission was entitled take the view, notwithstanding AEP’s arguments examined at paragraph 179 of that judgment, that ACEA had benefited from earlier unlawful aid.",support,premise,premise,R2010_AceaElectrabel Produzione SpA v European Commission
that scheme if it were to fulfil the aforementioned criteria.,by the Netherlands authorities.,support,premise,premise,A2009_Commission of the European Communities v Koninklijke FrieslandCampina NV_M
"appeals, is not vitiated by any error of law.",Scuola Elementare Maria Montessori contests those arguments.,support,premise,premise,A2018_Scuola Elementare Maria Montessori Srl v European Commission
"Accordingly, in finding that the private investor test may be applicable even where fiscal means have been employed, the General Court did not err in law.","It follows that — contrary to the assertions made by the Commission, the EFTA Surveillance Authority and Iberdrola — the analysis carried out by the General Court is not inconsistent with the principle of equal treatment between public and private undertakings;",support,premise,premise,R2012_European Commission v Électricité de France (EDF)
"Moreover, in the light of the case-law referred to at paragraphs 49 and 51 above, it is apparent from those findings that the Commission was entitled to take the view that, since it had holdings giving it joint control in AEP, ACEA in fact exercised that control by involving itself directly or indirectly in the management of that company by means of both the presence of its representatives on AEP’s board of directors and on its executive committee and its majority holding in AceaElectrabel, which in turn held 50 % of the capital in AEP.","Third, the General Court pointed out, at paragraph 119 of the judgment under appeal, that, although Electrabel is represented by eight members out of twelve on AEP’s board of directors and by four members out of six on its executive committee, the agreement of one of the members representing ACEA is required for the most important matters, which gives it the power to block decisions.",support,premise,premise,R2010_AceaElectrabel Produzione SpA v European Commission
"Furthermore, where a tax specifically intended to finance aid proves to be contrary to other provisions of the Treaty, the Commission cannot declare the aid scheme of which the charge forms part to be compatible with the internal market (see, to that effect, judgment of 21 October 2003, van Calster and Others, C‑261/01 and C‑262/01, EU:C:2003:571, paragraphs 47 and 48 and the case-law cited).","It is settled case-law of the Court that taxes do not fall within the scope of the provisions of the Treaty relating to State aid unless they constitute the method of financing an aid measure, so that they form an integral part of that measure (judgments of 13 January 2005, Streekgewest, C‑174/02, EU:C:2005:10, paragraph 25; of 13 January 2005 in Pape, C‑175/02, EU:C:2005:11, paragraph 14; and of 27 October 2005, Distribution Casino France and Others, C‑266/04 to C‑270/04, C‑276/04 and C‑321/04 to C‑325/04, EU:C:2005:657, paragraph 34).",no-relation,premise,premise,R2016_DTS Distribuidora de Televisión Digital
amount of aid to be recovered.,"the regime at issue, the Commission was entitled to rely on the data thus provided.",support,premise,premise,R2011_France Télécom SA v European Commission
"Therefore, in paragraph 118 of that judgment, it concluded that, ‘since it is the investors, and not the EIGs, that benefited from the tax and economic advantages resulting from the STL system, it is appropriate to examine … whether the advantages obtained by the investors are selective, are liable to distort competition and affect trade between Member States and whether the [decision at issue] contains a sufficient statement of reasons concerning the analysis of those criteria.’","In paragraph 117 of that judgment, it held that, in the absence of an economic advantage in favour of the EIGs, the Commission was wrong to conclude that they had benefited from State aid within the meaning of Article 107(1) TFEU.",support,premise,premise,A2018_Commission v Spain
to be determined by reference to certain factors unrelated to the regime.,and the tax rate applicable in those authorities.,support,premise,premise,R2011_France Télécom SA v European Commission
